tradeItemId,tradeItemName
e3a5c3a3-268e-400e-9398-24f33bfdd965,Rosa large flowered Desert Rose 60cm
fa369580-4763-4066-9f9c-408cf270e558,Alstroemeria Lovely 70cm
d4369f3f-fdbb-443d-9b88-ee5f547ef577,Wedding Party 50
b529d394-908b-4668-affd-79a578b0fae0,Rosa spray Land of Fire 60cm
a9669630-c1a4-476f-a39a-c3f62b3a2570,Rosa large flowered Yelloween 50cm
2eeaf328-434c-4675-a311-1bfc143759f0,Rosa large flowered Red Bentley 60cm
8a92a572-f885-45be-a501-607885aa99ae,Rosa spray Marisa 60cm
dc8f110f-2ded-4b0c-898a-8bd424a88c74,Green Glow 50
a1664a8d-0b11-4b79-9dba-b4a483935543,Inger Kristine 60cm
c81fa93f-4d0b-4092-9e47-9442d4afb1a6,Flinders Lane
a0fa64ec-2523-4b0e-b9a8-4acc4ef24a9e,Eyeliner - Length 70
465e0fcb-e3a2-40b9-bde4-8a6499c958f4,Rosa large flowered Ever Red 60cm
0b28b987-5bdb-4a30-875a-6732950798ec,Rosa Tapdance 40cm
b689a646-3a3f-44ee-9009-adf88cd4b124,Summer Dance 60
584c47a0-e8c5-4831-81b2-fade15a2c656,Rosa spray Lyrica 60cm
c21e03e8-54bb-4af4-b8c2-5453a1e70ad2,Rosa spray Julietta 70cm
c0b3d688-0eba-4536-bfdb-7a0dbccb9bf9,Odilia 50
45153ba9-1c11-455c-97a0-0fa3fdd557bf,Rosa large flowered Wham 70cm
51097d85-c219-4513-96c0-dedf8fbdfe6e,Rosa large flowered Pegasso 50cm
5ab13661-adc8-45a8-ba1c-3970c45003d8,Rosa spray Rosanella 60cm
f75456c5-c8e7-4aac-a637-51149158b509,Rosa large flowered Snowstorm+ 60cm
a0bdb6d6-6c35-4ccb-b7bc-bb41bea106a5,Ivory Flow 50
62af9fad-2a0a-479c-822f-44b151fa047e,Fireworks 50
8f871718-c308-4af8-8460-65584b197237,Rosa large flowered NovaVita 60cm
571288f2-d7df-4123-9291-d1e3911a636c,Rosa large flowered Wendy Kristy 60cm
563d54d7-12b2-4bf9-a3dd-783d30211b7e,Rosa Fuchsiana 50cm
aec1f3f9-1c45-4d11-8bf4-1acb71e5913e,Fireworks 60
12907391-8d1d-41ba-86b7-9ad66a8c99f3,Rosa spray Tessa
58899a6e-56cb-48d1-b3f9-1aa68b35e8b1,Giselle 60cm
c233b6fc-56d8-4e70-9a53-32515cd8dd04,Rosa large flowered Orange Wave 70cm
a95596dd-2aa5-442d-a7a7-68b92aeb4d1a,Rosa large flowered Red Bentley 70cm
f8cc8502-1efe-46b2-91f4-a54166909131,Rosa spray Julietta 60cm
ccf9429e-da1b-4018-9c58-8a322562ad06,Rosa Tapdance 50cm
72c675e4-6997-43f4-8016-8b62fc7e525b,Alstroemeria Gold 70cm
870111d6-c674-4378-a2ab-ecec4863ff30,Rosa large flowered Pink Rhodos 50cm
69faf53a-de0b-47f0-bed3-c0b4e7bc9186,Rosa Large Flowered Candidate 50cm
a5120dcd-b19d-44b1-b4e8-3ec9d21749e5,Rosa spray Snowflake 60cm
4818156f-e8da-4bc5-9180-9228ed314dcf,Rosa spray Leila 60cm
7811ba28-b324-4952-93ec-b7254e98a6ad,Smashing - Length 70
dd426891-c6d4-4eba-8950-3837c12829d7,Fair Flow 50
217d6a7b-1a40-4eed-aaf4-d21e0cfee8fd,Rosa large flowered Thriller 60cm
bb8cd4db-3ea8-47c1-a732-a958835025e0,Rosa large flowered Red Bentley 50cm
71428412-83cc-4780-9835-fbd0a93c831e,Odilia - Length 70
3ed8c59a-869d-47f5-bb30-8fc178fd8c85,Rosa Amina 60cm
9c9db354-8a2c-4cb8-9dc5-16d01a5e3b7a,Sweet Sara 60
90dea807-3baa-47be-a3b6-a7463b7c1f32,Rosa Copacabana 60cm
b3ced92f-0bc5-49b0-9e9f-f779cab05cb4,Summer Dance 70
f306af12-ad29-416f-ae7d-a26f46735bf9,Rosa large flowered Charlize 60cm
854a886f-c366-4580-b550-b6435c2b3eb3,Zaddique 60
1b745a5b-a6f9-46e6-9fa9-b05131357159,Rosa Smoothie 60cm
6bf063f6-f974-43a2-919f-84e8dfe42d2a,Rosa Confidential 60cm
316c3f1d-0f8c-453d-a18d-1577a8e2715d,Rosa large flowered Wendy Kristy 70cm
11271e8b-d9ba-445d-a194-a6e1b6f67369,Rosa spray Leila 50cm
e03a8b42-14e1-4c9a-9c4d-c99254bd9d36,Rosa Pink Ice 60cm
1f8aaba4-a25b-4ea6-a9f7-fb2f8de183af,Rosa Red Calypso 60cm
f45af31a-9376-45a5-88f1-ba4809534c49,Rosa spray Alexine
